Event ID,Player 1 Aces,Player 2 Aces,Player 1 Double faults,Player 2 Double faults,Player 1 Service points won,Player 2 Service points won,Player 1 Receiver points won,Player 2 Receiver points won,Player 1 Max points in a row,Player 2 Max points in a row,Player 1 Service games won,Player 2 Service games won,Player 1 Max games in a row,Player 2 Max games in a row,Player 1 Return games played,Player 2 Return games played,Player 1 Break points converted,Player 2 Break points converted,Player 1 Tiebreaks,Player 2 Tiebreaks,Player 1 First serve Made,Player 1 First serve Total,Player 2 First serve Made,Player 2 First serve Total,Player 1 Second serve Made,Player 1 Second serve Total,Player 2 Second serve Made,Player 2 Second serve Total,Player 1 First serve points Made,Player 1 First serve points Total,Player 2 First serve points Made,Player 2 First serve points Total,Player 1 Second serve points Made,Player 1 Second serve points Total,Player 2 Second serve points Made,Player 2 Second serve points Total,Player 1 Break points saved Made,Player 1 Break points saved Total,Player 2 Break points saved Made,Player 2 Break points saved Total,Player 1 First serve return points Made,Player 1 First serve return points Total,Player 2 First serve return points Made,Player 2 First serve return points Total,Player 1 Second serve return points Made,Player 1 Second serve return points Total,Player 2 Second serve return points Made,Player 2 Second serve return points Total,Year,Month,Day,Set 1,Set 2,Set 3,Set 1 Game 1,Set 1 Game 2,Set 1 Game 3,Set 1 Game 4,Set 1 Game 5,Set 1 Game 6,Set 1 Game 7,Set 1 Game 8,Set 1 Game 9,Set 1 Game 10,Set 1 Game 11,Set 1 Game 12,Set 2 Game 1,Set 2 Game 2,Set 2 Game 3,Set 2 Game 4,Set 2 Game 5,Set 2 Game 6,Set 2 Game 7,Set 2 Game 8,Set 2 Game 9,Set 2 Game 10,Set 2 Game 11,Set 2 Game 12,Set 3 Game 1,Set 3 Game 2,Set 3 Game 3,Set 3 Game 4,Set 3 Game 5,Set 3 Game 6,Set 3 Game 7,Set 3 Game 8,Set 3 Game 9,Set 3 Game 10,Set 3 Game 11,Set 3 Game 12,Match Score,Winner,Player 1 Tiebreak Wins,Player 2 Tiebreak Wins,Match Duration,Player 1 First serve Win %,Player 2 First serve Win %,Player 1 Second serve Win %,Player 2 Second serve Win %,Player 1 First serve return Win %,Player 2 First serve return Win %,Player 1 Second serve return Win %,Player 2 Second serve return Win %,Player 1 ID,Player 2 ID
12250478.0,2.0,2.0,1.0,1.0,16.0,17.0,13.0,20.0,3.0,4.0,8.0,10.0,2.0,3.0,5.0,4.0,2.0,3.0,0.0,0.0,15.0,36.0,17.0,30.0,20.0,21.0,12.0,13.0,10.0,15.0,13.0,17.0,6.0,21.0,4.0,13.0,2.0,5.0,3.0,5.0,4.0,17.0,5.0,15.0,9.0,13.0,15.0,21.0,2024.0,4.0,17.0,6-2,6-2,0,6-2,5-2,5-1,4-1,3-1,2-1,2-0,1-0,0,0,0,0,6-2,5-2,4-2,3-2,2-2,1-2,1-1,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2-0,1.0,0.0,0.0,77.0,66.66666666666666,76.47058823529412,28.57142857142857,30.76923076923077,66.66666666666666,76.47058823529412,28.57142857142857,30.76923076923077,P0001,P0002
13611333.0,3.0,1.0,3.0,1.0,22.0,20.0,15.0,22.0,3.0,5.0,3.0,3.0,2.0,2.0,6.0,6.0,3.0,3.0,0.0,0.0,25.0,44.0,19.0,35.0,16.0,19.0,15.0,16.0,17.0,25.0,13.0,19.0,5.0,19.0,7.0,16.0,1.0,4.0,0.0,3.0,6.0,19.0,8.0,25.0,9.0,16.0,14.0,19.0,2023.0,11.0,9.0,6-7,0,0,6-7,6-6,5-6,5-5,5-4,4-4,3-4,3-3,3-2,2-2,1-2,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1,2.0,0.0,1.0,69.0,68.0,68.42105263157895,26.31578947368421,43.75,68.0,68.42105263157895,26.31578947368421,43.75,P0003,P0004
13304865.0,0.0,0.0,0.0,1.0,14.0,6.0,12.0,8.0,6.0,3.0,7.0,3.0,6.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,14.0,22.0,15.0,18.0,8.0,8.0,2.0,3.0,10.0,14.0,5.0,15.0,4.0,8.0,1.0,3.0,4.0,4.0,1.0,4.0,10.0,15.0,4.0,14.0,2.0,3.0,4.0,8.0,2025.0,1.0,22.0,1-6,4-6,0,1-6,1-5,1-4,1-3,1-2,0-2,0-1,0,0,0,0,0,4-6,4-5,4-4,4-3,4-2,4-1,3-1,3-0,2-0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-2,2.0,0.0,0.0,74.0,71.42857142857143,33.33333333333333,50.0,33.33333333333333,71.42857142857143,33.33333333333333,50.0,33.33333333333333,P0005,P0006
13372939.0,0.0,0.0,0.0,0.0,12.0,4.0,12.0,9.0,8.0,3.0,6.0,2.0,6.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,16.0,21.0,12.0,16.0,5.0,5.0,4.0,4.0,10.0,16.0,4.0,12.0,2.0,5.0,0.0,4.0,4.0,4.0,0.0,3.0,8.0,12.0,6.0,16.0,4.0,4.0,3.0,5.0,2025.0,2.0,1.0,7-5,4-6,7-6,7-5,6-5,5-5,5-4,4-4,4-3,4-2,3-2,2-2,2-1,1-1,1-0,4-6,4-5,3-5,3-4,3-3,3-2,2-2,2-1,1-1,1-0,0,0,7-6,6-6,5-6,5-5,4-5,4-4,3-4,3-3,2-3,2-2,1-2,1-1,2-1,1.0,1.0,0.0,184.0,62.5,33.33333333333333,40.0,0.0,62.5,33.33333333333333,40.0,0.0,P0007,P0008
12125302.0,0.0,0.0,0.0,1.0,12.0,3.0,12.0,3.0,5.0,1.0,5.0,1.0,6.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,13.0,15.0,11.0,15.0,2.0,2.0,3.0,4.0,10.0,13.0,3.0,11.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,4.0,8.0,11.0,3.0,13.0,4.0,4.0,0.0,2.0,2024.0,3.0,6.0,6-1,7-6,0,6-1,5-1,4-1,3-1,2-1,1-1,0-1,0,0,0,0,0,7-6,6-6,6-5,5-5,5-4,4-4,4-3,4-2,3-2,2-2,1-2,0-2,0,0,0,0,0,0,0,0,0,0,0,0,2-0,1.0,1.0,0.0,117.0,76.92307692307693,27.27272727272727,100.0,0.0,76.92307692307693,27.27272727272727,100.0,0.0,P0009,P0010
12741828.0,0.0,0.0,1.0,3.0,12.0,22.0,13.0,13.0,3.0,6.0,9.0,12.0,1.0,3.0,4.0,4.0,0.0,2.0,0.0,0.0,17.0,25.0,22.0,35.0,7.0,8.0,10.0,13.0,8.0,17.0,16.0,22.0,4.0,8.0,6.0,13.0,1.0,3.0,1.0,1.0,6.0,22.0,9.0,17.0,7.0,13.0,4.0,8.0,2024.0,8.0,30.0,6-2,6-2,0,6-2,5-2,4-2,4-1,3-1,2-1,1-1,1-0,0,0,0,0,6-2,5-2,4-2,3-2,2-2,1-2,0-2,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2-0,1.0,0.0,0.0,85.0,47.05882352941176,72.72727272727273,50.0,46.15384615384615,47.05882352941176,72.72727272727273,50.0,46.15384615384615,P0011,P0012
10488106.0,0.0,0.0,1.0,0.0,11.0,16.0,10.0,12.0,3.0,9.0,4.0,7.0,1.0,3.0,4.0,4.0,0.0,2.0,0.0,0.0,18.0,23.0,22.0,26.0,4.0,5.0,4.0,4.0,10.0,18.0,12.0,22.0,1.0,5.0,4.0,4.0,2.0,4.0,6.0,6.0,10.0,22.0,8.0,18.0,0.0,4.0,4.0,5.0,2022.0,7.0,21.0,2-6,5-7,0,2-6,2-5,2-4,2-3,1-3,1-2,1-1,1-0,0,0,0,0,5-7,5-6,5-5,4-5,3-5,3-4,2-4,2-3,2-2,1-2,1-1,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0-2,2.0,0.0,0.0,98.0,55.55555555555556,54.54545454545454,20.0,100.0,55.55555555555556,54.54545454545454,20.0,100.0,P0013,P0014
11070325.0,5.0,0.0,0.0,3.0,18.0,17.0,18.0,14.0,5.0,5.0,7.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,0.0,0.0,25.0,32.0,23.0,35.0,7.0,7.0,9.0,12.0,16.0,25.0,12.0,23.0,2.0,7.0,5.0,12.0,2.0,4.0,2.0,5.0,11.0,23.0,9.0,25.0,7.0,12.0,5.0,7.0,2023.0,2.0,20.0,6-4,7-6,6-7,6-4,5-4,5-3,4-3,3-3,2-3,2-2,2-1,1-1,1-0,0,0,7-6,6-6,6-5,5-5,5-4,4-4,4-3,3-3,2-3,1-3,1-2,0-2,6-7,6-6,5-6,5-5,5-4,5-3,4-3,4-2,3-2,2-2,1-2,1-1,2-1,1.0,1.0,1.0,207.0,64.0,52.17391304347826,28.57142857142857,41.66666666666667,64.0,52.17391304347826,28.57142857142857,41.66666666666667,P0015,P0016
13620046.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,10.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,6.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,2.0,2.0,4.0,2024.0,5.0,5.0,3-6,2-6,0,3-6,3-5,2-5,2-4,2-3,2-2,1-2,1-1,0-1,0,0,0,2-6,2-5,2-4,2-3,1-3,1-2,0-2,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-2,2.0,0.0,0.0,92.0,33.33333333333333,100.0,50.0,50.0,33.33333333333333,100.0,50.0,50.0,P0017,P0018
11025578.0,2.0,0.0,1.0,0.0,8.0,7.0,18.0,6.0,12.0,5.0,5.0,1.0,5.0,1.0,4.0,3.0,4.0,1.0,0.0,0.0,10.0,14.0,13.0,25.0,3.0,4.0,12.0,12.0,6.0,10.0,5.0,13.0,2.0,4.0,2.0,12.0,0.0,1.0,1.0,5.0,8.0,13.0,4.0,10.0,10.0,12.0,2.0,4.0,2023.0,1.0,30.0,6-1,6-3,0,6-1,5-1,5-0,4-0,3-0,2-0,1-0,0,0,0,0,0,6-3,5-3,4-3,4-2,3-2,3-1,3-0,2-0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2-0,1.0,0.0,0.0,71.0,60.0,38.46153846153847,50.0,16.666666666666664,60.0,38.46153846153847,50.0,16.666666666666664,P0015,P0019
